,RowID,OTU,assignmentQual,taxID,superkingdom,phylum,class,order,family,genus,species,Status,AphiaID,Match type,Qualitystatus,ScientificName,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Citation
3143,500,OTU_506,High,49249,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,native,149023,exact,Edited by Database Management Team,Ditylum brightwellii,149023,Ditylum brightwellii,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,,brightwellii,,"Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Ditylum brightwellii (T.West) Grunow, 1885. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=149023 on 2020-01-16"
3144,5006,OTU_5060,High,573193,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Boccardia,Boccardia proboscidea,native,327249,exact,Checked by Taxonomic Editor,Boccardia proboscidea,327249,Boccardia proboscidea,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardia,,proboscidea,,"Read, G.; Fauchald, K. (Ed.) (2020). World Polychaeta database. Boccardia proboscidea Hartman, 1940. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=327249 on 2020-01-16"
3172,5049,OTU_5103,High,406007,Eukaryota,Mollusca,Gastropoda,Trochida,Turbinidae,Turbo,Turbo sarmaticus,,,,,,,,,,,,,,,,,
3186,5078,OTU_5132,High,2903,Eukaryota,,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,,,,,,,,,,,,,,,,,
3190,5086,OTU_5140,High,717899,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia schneideri,,,,,,,,,,,,,,,,,
3207,5120,OTU_5175,High,661990,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Eucheilota,Eucheilota maculata,,,,,,,,,,,,,,,,,
3222,5149,OTU_5204,High,744985,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,,alpha proteobacterium HIMB59,,,,,,,,,,,,,,,,,
3235,5176,OTU_5231,High,1210411,Eukaryota,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,Lepidonotus clava,,,,,,,,,,,,,,,,,
3251,5203,OTU_5258,High,401952,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia parvula,,,,,,,,,,,,,,,,,
3307,529,OTU_535,High,110520,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus glandula,native,394848,exact,Checked by Taxonomic Editor,Balanus glandula,394848,Balanus glandula,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,glandula,,"WoRMS (2020). Balanus glandula Darwin, 1854. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=394848 on 2020-01-16"
3323,5325,OTU_5382,High,163232,Eukaryota,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria okadai,,,,,,,,,,,,,,,,,
3329,5335,OTU_5393,High,146614,Eukaryota,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax capensis,,,,,,,,,,,,,,,,,
3337,535,OTU_541,High,89963,Eukaryota,,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata,,,,,,,,,,,,,,,,,
3389,545,OTU_551,High,223366,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,,,,,,,,,,,,,,,,,
3396,546,OTU_552,High,1545455,Eukaryota,,Synurophyceae,Ochromonadales,,Acrispumella,Acrispumella msimbaziensis,,,,,,,,,,,,,,,,,
3484,563,OTU_569,High,66468,Eukaryota,,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa triquetra,,,,,,,,,,,,,,,,,
3576,581,OTU_588,High,33659,Eukaryota,,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,uncertain,115106,exact,Checked by Taxonomic Editor,Phaeocystis pouchetii,115106,Phaeocystis pouchetii,Chromista,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,,pouchetii,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Phaeocystis pouchetii (Hariot) Lagerheim, 1896. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=115106 on 2020-01-16"
3602,5868,OTU_5931,High,990617,Eukaryota,Chordata,Actinopteri,Blenniiformes,Blenniidae,Parablennius,Parablennius cornutus,,,,,,,,,,,,,,,,,
3621,591,OTU_598,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
3627,5931,OTU_5996,High,89963,Eukaryota,,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata,,,,,,,,,,,,,,,,,
3630,6,OTU_6,High,298899,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra capensis,,,,,,,,,,,,,,,,,
3642,5957,OTU_6023,High,458488,Eukaryota,Porifera,Demospongiae,Dendroceratida,Darwinellidae,Chelonaplysilla,Chelonaplysilla erecta,,,,,,,,,,,,,,,,,
3693,6082,OTU_6149,High,1262161,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia haitanensis,,,,,,,,,,,,,,,,,
3694,608,OTU_615,High,1232801,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,Amphibalanus amphitrite,nonnative,421137,exact,Checked by Taxonomic Editor,Amphibalanus amphitrite,421137,Amphibalanus amphitrite,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,,amphitrite,,"WoRMS (2020). Amphibalanus amphitrite (Darwin, 1854). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=421137 on 2020-01-16"
3696,6085,OTU_6152,High,283909,Eukaryota,Annelida,Polychaeta,Capitellida,Capitellidae,Capitella,Capitella teleta,,,,,,,,,,,,,,,,,
3719,6121,OTU_6189,High,6087,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,Hydra,Hydra vulgaris,,,,,,,,,,,,,,,,,
3736,6156,OTU_6224,High,558755,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Cryptosulidae,Cryptosula,Cryptosula pallasiana,nonnative,111343,exact,Checked by Taxonomic Editor,Cryptosula pallasiana,111343,Cryptosula pallasiana,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Cryptosulidae,Cryptosula,,pallasiana,,"Bock, P.; Gordon, D. (2020). World List of Bryozoa. Cryptosula pallasiana (Moll, 1803). Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=111343 on 2020-01-16"
3751,6177,OTU_6245,High,385024,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Acanthophora,Acanthophora spicifera,native,211768,exact,Checked by Taxonomic Editor,Acanthophora spicifera,211768,Acanthophora spicifera,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Acanthophora,,spicifera,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acanthophora spicifera (M.Vahl) Børgesen, 1910. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=211768 on 2020-01-16"
3768,63,OTU_63,High,41875,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,,,,,,,,,,,,,,,,,
3783,6267,OTU_6336,High,1928862,Eukaryota,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia verticillata,uncertain,851581,exact,Checked by Taxonomic Editor,Amathia verticillata,851581,Amathia verticillata,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,,verticillata,,"Bock, P.; Gordon, D. (2019). World List of Bryozoa. Amathia verticillata (delle Chiaje, 1822). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=851581 on 2020-01-16"
3785,627,OTU_634,High,33658,Eukaryota,,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa,,,,,,,,,,,,,,,,,
3787,628,OTU_635,High,223366,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,,,,,,,,,,,,,,,,,
3859,6464,OTU_6538,High,160068,Eukaryota,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia aggregata,,,,,,,,,,,,,,,,,
3867,6479,OTU_6553,High,1403498,Eukaryota,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,Acrochaetium,Acrochaetium luxurians,,,,,,,,,,,,,,,,,
3883,6507,OTU_6581,High,1403497,Eukaryota,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,Acrochaetium,Acrochaetium humile,,,,,,,,,,,,,,,,,
3910,6554,OTU_6630,High,193293,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora subovoidea,,,,,,,,,,,,,,,,,
3918,6567,OTU_6643,High,260499,Eukaryota,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,Asparagopsis taxiformis,nonnative,144439,exact,Checked by Taxonomic Editor,Asparagopsis taxiformis,144439,Asparagopsis taxiformis,Plantae,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,,taxiformis,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Asparagopsis taxiformis (Delile) Trevisan de Saint-Léon, 1845. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=144439 on 2020-01-16"
3947,6645,OTU_6722,High,1256663,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,Botrylloides nigrum,native,215857,exact,Checked by Taxonomic Editor,Botrylloides nigrum,252289,Botrylloides niger,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,,nigrum,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Botrylloides nigrum Herdman, 1886. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=215857 on 2020-01-16"
3959,668,OTU_676,High,1232801,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,Amphibalanus amphitrite,nonnative,421137,exact,Checked by Taxonomic Editor,Amphibalanus amphitrite,421137,Amphibalanus amphitrite,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Amphibalanus,,amphitrite,,"WoRMS (2020). Amphibalanus amphitrite (Darwin, 1854). Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=421137 on 2020-01-16"
3971,671,OTU_679,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
3992,6756,OTU_6834,High,439822,Eukaryota,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,Microcosmus squamiger,nonnative,236666,exact,Checked by Taxonomic Editor,Microcosmus squamiger,236666,Microcosmus squamiger,Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,,squamiger,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Microcosmus squamiger Michaelsen, 1927. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=236666 on 2020-01-16"
4000,6779,OTU_6858,High,400117,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Chondracanthus teedei,,,,,,,,,,,,,,,,,
4024,683,OTU_691,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
4087,71,OTU_71,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
4089,703,OTU_711,High,201964,Eukaryota,Chordata,Ascidiacea,Enterogona,Perophoridae,Perophora,Perophora viridis,uncertain,103761,exact,Checked by Taxonomic Editor,Perophora viridis,103761,Perophora viridis,Animalia,Chordata,Ascidiacea,Phlebobranchia,Perophoridae,Perophora,,viridis,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Perophora viridis Verrill, 1871. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103761 on 2020-01-16"
4114,7091,OTU_7175,High,693640,Eukaryota,Chordata,Actinopteri,Mugiliformes,Mugilidae,Chelon,Chelon dumerili,,,,,,,,,,,,,,,,,
4145,718,OTU_726,High,51324,Eukaryota,Chlorophyta,Ulvophyceae,,,Oltmannsiellopsis,Oltmannsiellopsis viridis,,,,,,,,,,,,,,,,,
4174,726,OTU_734,High,1041512,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia hasleana,,,,,,,,,,,,,,,,,
4177,7257,OTU_7347,High,6058,Eukaryota,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona oculata,,,,,,,,,,,,,,,,,
4187,730,OTU_738,High,1638924,Eukaryota,,Oomycetes,Olpidiopsidales,Olpidiopsidaceae,Olpidiopsis,Olpidiopsis feldmanni,,,,,,,,,,,,,,,,,
4195,732,OTU_740,High,58179,Eukaryota,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,Gelidium pristoides,,,,,,,,,,,,,,,,,
4226,741,OTU_749,High,1273208,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,Assiminea,Assiminea capensis,,,,,,,,,,,,,,,,,
4282,7510,OTU_7607,High,51294,Eukaryota,Annelida,Polychaeta,Capitellida,Capitellidae,Capitella,Capitella capitata,,,,,,,,,,,,,,,,,
4312,7612,OTU_7711,High,334896,Eukaryota,Chordata,Actinopteri,,Monodactylidae,Monodactylus,Monodactylus argenteus,,,,,,,,,,,,,,,,,
4377,7773,OTU_7875,High,265564,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira punctigera,uncertain,148936,exact,Edited by Database Management Team,Thalassiosira punctigera,148941,Ethmodiscus punctiger,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,,punctigera,,"Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Thalassiosira punctigera (Castracane) Hasle, 1983. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148936 on 2020-01-16"
4384,79,OTU_79,High,41875,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,,,,,,,,,,,,,,,,,
4414,80,OTU_80,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
4415,7900,OTU_8004,High,1262161,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia haitanensis,,,,,,,,,,,,,,,,,
4453,806,OTU_814,High,7658,Eukaryota,Echinodermata,Echinoidea,Echinoida,Echinidae,Parechinus,Parechinus angulosus,,,,,,,,,,,,,,,,,
4460,8073,OTU_8180,High,159417,Eukaryota,Chordata,Ascidiacea,Enterogona,Clavelinidae,Clavelina,Clavelina lepadiformis,,103552,exact,Checked by Taxonomic Editor,Clavelina lepadiformis,103552,Clavelina lepadiformis,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,,lepadiformis,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2020). Ascidiacea World Database. Clavelina lepadiformis (Müller, 1776). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=103552 on 2020-01-16"
4512,827,OTU_836,High,756461,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus,nonnative,106223,exact,Checked by Taxonomic Editor,Balanus trigonus,106223,Balanus trigonus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,trigonus,,"WoRMS (2020). Balanus trigonus Darwin, 1854. Accessed at: http://marinespecies.org/aphia.php?p=taxdetails&id=106223 on 2020-01-16"
4542,8365,OTU_8474,High,193293,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora subovoidea,,,,,,,,,,,,,,,,,
4577,86,OTU_86,High,298899,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra capensis,,,,,,,,,,,,,,,,,
4579,8494,OTU_8607,High,429038,Eukaryota,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,Jassa slatteryi,nonnative,102438,exact,Checked by Taxonomic Editor,Jassa slatteryi,102438,Jassa slatteryi,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,,slatteryi,,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fi_er, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2020). World Amphipoda Database. Jassa slatteryi Conlan, 1990. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=102438 on 2020-01-16"
4591,856,OTU_865,High,2069446,Eukaryota,Cnidaria,Anthozoa,Alcyonacea,Leptophytidae,Tenerodus,Tenerodus fallax,,,,,,,,,,,,,,,,,
4637,874,OTU_883,High,7658,Eukaryota,Echinodermata,Echinoidea,Echinoida,Echinidae,Parechinus,Parechinus angulosus,,,,,,,,,,,,,,,,,
4649,8753,OTU_8870,High,329479,Eukaryota,,Phaeophyceae,Ectocarpales,Chordariaceae,Spermatochnus,Spermatochnus paradoxus,,,,,,,,,,,,,,,,,
4660,8774,OTU_8891,High,29204,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella cryptica,uncertain,148998,exact,Edited by Database Management Team,Cyclotella cryptica,148998,Cyclotella cryptica,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,,cryptica,,"Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Cyclotella cryptica Reimann, Lewin & Guillard, 1963. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148998 on 2020-01-16"
4673,885,OTU_894,High,348593,Eukaryota,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,Ostrea stentina,nonnative,489077,exact,Checked by Taxonomic Editor,Ostrea stentina,489077,Ostrea stentina,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,,stentina,,"MolluscaBase eds. (2020). MolluscaBase. Ostrea stentina Payraudeau, 1826. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=489077 on 2020-01-16"
4677,886,OTU_895,High,252669,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia gracilis,,,,,,,,,,,,,,,,,
4877,9567,OTU_9696,High,193174,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Aglaothamnion,Aglaothamnion hookeri,,,,,,,,,,,,,,,,,
4880,962,OTU_971,High,193348,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Callithamnion,Callithamnion collabens,,,,,,,,,,,,,,,,,
4899,969,OTU_978,High,744985,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,,alpha proteobacterium HIMB59,,,,,,,,,,,,,,,,,
4907,9663,OTU_9794,High,1927426,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Corycaeidae,Ditrichocorycaeus,Ditrichocorycaeus andrewsi,,,,,,,,,,,,,,,,,
4938,9804,OTU_9937,High,197756,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Haslea,Haslea pseudostrearia,,,,,,,,,,,,,,,,,
